date,^GSPC,VBTIX
1972-09-11,109.51000213623047,
1972-09-12,108.47000122070312,
1972-09-13,108.9000015258789,
1972-09-14,108.93000030517578,
1972-09-15,108.80999755859375,
1972-09-18,108.61000061035156,
1972-09-19,108.55000305175781,
1972-09-20,108.5999984741211,
1972-09-21,108.43000030517578,
1972-09-22,108.5199966430664,
1972-09-25,108.05000305175781,
1972-09-26,108.12000274658203,
1972-09-27,109.66000366210938,
1972-09-28,110.3499984741211,
1972-09-29,110.55000305175781,
1972-10-02,110.16000366210938,
1972-10-03,110.30000305175781,
1972-10-04,110.08999633789062,
1972-10-05,108.88999938964844,
1972-10-06,109.62000274658203,
1972-10-09,109.9000015258789,
1972-10-10,109.98999786376953,
1972-10-11,109.5,
1972-10-12,108.5999984741211,
1972-10-13,107.91999816894531,
1972-10-16,106.7699966430664,
1972-10-17,107.5,
1972-10-18,108.19000244140625,
1972-10-19,108.05000305175781,
1972-10-20,109.23999786376953,
1972-10-23,110.3499984741211,
1972-10-24,110.80999755859375,
1972-10-25,110.72000122070312,
1972-10-26,110.98999786376953,
1972-10-27,110.62000274658203,
1972-10-30,110.58999633789062,
1972-10-31,111.58000183105469,
1972-11-01,112.66999816894531,
1972-11-02,113.2300033569336,
1972-11-03,114.22000122070312,
1972-11-06,113.9800033569336,
1972-11-08,113.3499984741211,
1972-11-09,113.5,
1972-11-10,113.7300033569336,
1972-11-13,113.9000015258789,
1972-11-14,114.94999694824219,
1972-11-15,114.5,
1972-11-16,115.12999725341797,
1972-11-17,115.48999786376953,
1972-11-20,115.52999877929688,
1972-11-21,116.20999908447266,
1972-11-22,116.9000015258789,
1972-11-24,117.2699966430664,
1972-11-27,116.72000122070312,
1972-11-28,116.47000122070312,
1972-11-29,116.5199966430664,
1972-11-30,116.66999816894531,
1972-12-01,117.37999725341797,
1972-12-04,117.7699966430664,
1972-12-05,117.58000183105469,
1972-12-06,118.01000213623047,
1972-12-07,118.5999984741211,
1972-12-08,118.86000061035156,
1972-12-11,119.12000274658203,
1972-12-12,118.66000366210938,
1972-12-13,118.55999755859375,
1972-12-14,118.23999786376953,
1972-12-15,118.26000213623047,
1972-12-18,116.9000015258789,
1972-12-19,116.33999633789062,
1972-12-20,115.94999694824219,
1972-12-21,115.11000061035156,
1972-12-22,115.83000183105469,
1972-12-26,116.30000305175781,
1972-12-27,116.93000030517578,
1972-12-29,118.05000305175781,
1973-01-02,119.0999984741211,
1973-01-03,119.56999969482422,
1973-01-04,119.4000015258789,
1973-01-05,119.87000274658203,
1973-01-08,119.8499984741211,
1973-01-09,119.7300033569336,
1973-01-10,119.43000030517578,
1973-01-11,120.23999786376953,
1973-01-12,119.30000305175781,
1973-01-15,118.44000244140625,
1973-01-16,118.13999938964844,
1973-01-17,118.68000030517578,
1973-01-18,118.8499984741211,
1973-01-19,118.77999877929688,
1973-01-22,118.20999908447266,
1973-01-23,118.22000122070312,
1973-01-24,116.7300033569336,
1973-01-26,116.44999694824219,
1973-01-29,116.01000213623047,
1973-01-30,115.83000183105469,
1973-01-31,116.02999877929688,
1973-02-01,114.76000213623047,
1973-02-02,114.3499984741211,
1973-02-05,114.2300033569336,
1973-02-06,114.44999694824219,
1973-02-07,113.66000366210938,
1973-02-08,113.16000366210938,
1973-02-09,114.68000030517578,
1973-02-12,116.05999755859375,
1973-02-13,116.77999877929688,
1973-02-14,115.0999984741211,
1973-02-15,114.44999694824219,
1973-02-16,114.9800033569336,
1973-02-20,115.4000015258789,
1973-02-21,114.69000244140625,
1973-02-22,114.44000244140625,
1973-02-23,113.16000366210938,
1973-02-26,112.19000244140625,
1973-02-27,110.9000015258789,
1973-02-28,111.68000030517578,
1973-03-01,111.05000305175781,
1973-03-02,112.27999877929688,
1973-03-05,112.68000030517578,
1973-03-06,114.0999984741211,
1973-03-07,114.44999694824219,
1973-03-08,114.2300033569336,
1973-03-09,113.79000091552734,
1973-03-12,113.86000061035156,
1973-03-13,114.4800033569336,
1973-03-14,114.9800033569336,
1973-03-15,114.12000274658203,
1973-03-16,113.54000091552734,
1973-03-19,112.16999816894531,
1973-03-20,111.94999694824219,
1973-03-21,110.48999786376953,
1973-03-22,108.83999633789062,
1973-03-23,108.87999725341797,
1973-03-26,109.83999633789062,
1973-03-27,111.55999755859375,
1973-03-28,111.62000274658203,
1973-03-29,112.70999908447266,
1973-03-30,111.5199966430664,
1973-04-02,110.18000030517578,
1973-04-03,109.23999786376953,
1973-04-04,108.7699966430664,
1973-04-05,108.5199966430664,
1973-04-06,109.27999877929688,
1973-04-09,110.86000061035156,
1973-04-10,112.20999908447266,
1973-04-11,112.68000030517578,
1973-04-12,112.58000183105469,
1973-04-13,112.08000183105469,
1973-04-16,111.44000244140625,
1973-04-17,110.94000244140625,
1973-04-18,111.54000091552734,
1973-04-19,112.16999816894531,
1973-04-23,111.56999969482422,
1973-04-24,109.98999786376953,
1973-04-25,108.33999633789062,
1973-04-26,108.88999938964844,
1973-04-27,107.2300033569336,
1973-04-30,106.97000122070312,
1973-05-01,107.0999984741211,
1973-05-02,108.43000030517578,
1973-05-03,110.22000122070312,
1973-05-04,111.0,
1973-05-07,110.52999877929688,
1973-05-08,111.25,
1973-05-09,110.44000244140625,
1973-05-10,109.54000091552734,
1973-05-11,108.16999816894531,
1973-05-14,105.9000015258789,
1973-05-15,106.56999969482422,
1973-05-16,106.43000030517578,
1973-05-17,105.55999755859375,
1973-05-18,103.86000061035156,
1973-05-21,102.7300033569336,
1973-05-22,103.58000183105469,
1973-05-23,104.06999969482422,
1973-05-24,107.13999938964844,
1973-05-25,107.94000244140625,
1973-05-29,107.51000213623047,
1973-05-30,105.91000366210938,
1973-05-31,104.94999694824219,
1973-06-01,103.93000030517578,
1973-06-04,102.97000122070312,
1973-06-05,104.62000274658203,
1973-06-06,104.30999755859375,
1973-06-07,105.83999633789062,
1973-06-08,107.02999877929688,
1973-06-11,106.69999694824219,
1973-06-12,108.29000091552734,
1973-06-13,107.5999984741211,
1973-06-14,106.4000015258789,
1973-06-15,105.0999984741211,
1973-06-18,103.5999984741211,
1973-06-19,103.98999786376953,
1973-06-20,104.44000244140625,
1973-06-21,103.20999908447266,
1973-06-22,103.69999694824219,
1973-06-25,102.25,
1973-06-26,103.30000305175781,
1973-06-27,103.62000274658203,
1973-06-28,104.69000244140625,
1973-06-29,104.26000213623047,
1973-07-02,102.9000015258789,
1973-07-03,101.87000274658203,
1973-07-05,101.77999877929688,
1973-07-06,101.27999877929688,
1973-07-09,102.13999938964844,
1973-07-10,103.5199966430664,
1973-07-11,105.80000305175781,
1973-07-12,105.5,
1973-07-13,104.08999633789062,
1973-07-16,105.66999816894531,
1973-07-17,105.72000122070312,
1973-07-18,106.3499984741211,
1973-07-19,106.55000305175781,
1973-07-20,107.13999938964844,
1973-07-23,107.5199966430664,
1973-07-24,108.13999938964844,
1973-07-25,109.63999938964844,
