relative_date,1999-06-15 00:00:00,2000-08-02 00:00:00,2004-01-13 00:00:00,2004-07-20 00:00:00,2005-10-03 00:00:00,2005-12-27 00:00:00,2009-10-01 00:00:00,avg
32,102.11810506005993,100.40384088350163,103.09930262642469,100.86951160095681,100.36765386362954,100.50296417882376,107.71472303011747,102.1537287490734
33,102.06661855129835,101.47355765355516,102.48657762181392,100.44737935913281,101.31247234834153,101.51129209130043,107.81375662579798,102.44452203589147
34,101.61548302891903,100.87857198008116,102.65871634225849,101.13920322387962,101.75838177369853,101.86702852342083,107.76327379108783,102.52580838047793
35,100.32047724841387,100.71940627007177,103.00119738261175,100.68550382753125,102.29477668008143,102.61352323041089,106.3164587435286,102.27876334037852
36,100.9645183089046,100.69646346502536,103.17868175556018,100.87582062765456,102.81487166147582,102.44321312632268,105.97465948978318,102.4211754906752
37,99.93313696283825,100.0229428050464,102.31711717125924,101.37552196735933,103.1719275885286,102.10816921155485,107.4175866834366,102.3352003414319
38,99.74177001573209,99.2013629926785,101.72668930784579,101.54688966635379,103.38714033439327,102.87535643589749,107.36030010439124,102.26278697961318
39,98.48366227439588,99.15687736884038,100.23813738740652,101.77328793329828,102.50754145186359,102.48698800106008,107.8438637871419,101.78433688628665
40,100.0591794637879,101.36165208559771,98.71212235033643,101.05531408878332,102.50917343458525,102.61750629713133,105.98533923481108,101.757183850719
41,99.76943650886946,99.84778331267293,99.94202525543182,101.3376347756194,101.8570172172187,102.99074879322794,106.38734095803122,101.73314097443878
