,date,turbulence
164,1972-08-24,62.0887234394644
165,1972-08-25,42.50252982290276
166,1972-08-28,43.164169380383214
167,1972-08-29,39.102578888631854
168,1972-08-30,32.99272928722982
169,1972-08-31,39.062281747266866
170,1972-09-01,33.536210521923685
171,1972-09-05,25.81836137874775
172,1972-09-06,24.8004926553827
173,1972-09-07,27.96152078778715
174,1972-09-08,31.14266041259008
175,1972-09-11,52.43477047884054
176,1972-09-12,30.68369685908658
177,1972-09-13,33.87428722477485
178,1972-09-14,30.454251932792957
179,1972-09-15,31.065077086517956
180,1972-09-18,40.234108561961946
181,1972-09-19,39.352439920686464
182,1972-09-20,25.906626879044243
183,1972-09-21,36.09747667053313
184,1972-09-22,26.537409525031293
185,1972-09-25,46.98769779623796
186,1972-09-26,30.643368831474763
