date,ar,avg_15,avg_252,std_252,ar_shift
1987-05-07,0.7695203252391069,0.770863155928488,0.7538023248579212,0.009830262306568248,1.735541793138857
1987-05-08,0.7690290200860234,0.770806649988755,0.7539375824540036,0.009804210391527866,1.7205941999499097
1987-05-11,0.7688651668930796,0.770754973913347,0.7540738656239896,0.009771887874720045,1.7070507258389234
1987-05-12,0.7684160823650608,0.7705842881525444,0.7542093947711844,0.009732790011294984,1.6824459751373244
1987-05-13,0.7674642833506942,0.77029879680649,0.7543420852581729,0.009684345733203141,1.6476809056505433
1987-05-14,0.7671864932826415,0.7700321639873721,0.7544686509348068,0.00964271265739824,1.614018130118647
1987-05-15,0.768822736870093,0.7697773551310719,0.754600957997242,0.009609832678836123,1.5792571672192695
1987-05-18,0.7684186288222419,0.7695613752039044,0.7547345452506938,0.009566734479731324,1.5498318663096218
1987-05-19,0.7711983803961506,0.7695596640150547,0.7548762664386107,0.0095449371703519,1.5383440785815718
1987-05-20,0.7711625105801979,0.7695724044454475,0.7550217732183265,0.009512429378143459,1.529644073947471
1987-05-21,0.7713581353997098,0.7695862061910733,0.7551571561360875,0.009501140482393337,1.5186650572870144
1987-05-22,0.7715635579975966,0.769645238757193,0.7552944714278969,0.009487142701456681,1.5126543134101622
1987-05-26,0.7742617517922264,0.7699122025799642,0.7554403434288581,0.009495081295786783,1.524142732461658
1987-05-27,0.7731720975846887,0.7700285478099744,0.7555849529624166,0.009486493995728646,1.5225429810065954
1987-05-28,0.7726881815562001,0.7702084901477135,0.7557318272671779,0.009463517242462529,1.5297338726852263
1987-05-29,0.7721768607341921,0.7703855925140526,0.755879523161344,0.009428376876559492,1.5385542541021124
1987-06-01,0.771844377328334,0.7705732829968732,0.7560229837194518,0.00939497063695942,1.548732810316745
1987-06-02,0.771644810174605,0.7707585925489749,0.7561674465474042,0.009353928612650012,1.5598949495763794
1987-06-03,0.7721171086814768,0.771005327636736,0.7563153682785762,0.009309966467929748,1.577874572240695
1987-06-04,0.7715615802155249,0.7712784807610581,0.7564614022172026,0.00925900608933686,1.6002882383800998
1987-06-05,0.7713086430043732,0.7715532907425068,0.756608088159229,0.00919983046011299,1.6245084785067063
1987-06-08,0.7709982860629565,0.7716983273553645,0.756734092483962,0.009178500723234147,1.6303572143893357
1987-06-09,0.7703689812636552,0.7718283508514586,0.7568568648535368,0.009153005696278447,1.6356906676032303
1987-06-10,0.7697341923728773,0.7717307383165737,0.7569794529107988,0.009117571821733603,1.617896266044447
